baseline_objective,candidate_objective,comparison_kind,series,label,unit,n,median_ratio,p10,p25,p75,p90,min_ratio,max_ratio,pct_improved,pct_unchanged,pct_regressed,pooled_ratio,base_sum,cand_sum,net_saved,top10_share,top5pct_share,top5pct_k
feasibility,feasibility,same-objective,build_tighten,Build + bound tightening,s,492,0.8309841293011684,0.7082128935546413,0.7834986163432444,0.8865339861374377,0.9704633208957536,0.5066124789763704,1.319714665612058,91.26016260162602,1.016260162601626,7.723577235772358,0.8344835781004024,602.1514740198448,502.4855165985116,99.66595742133325,0.0701230700177584,0.15102059300018633,25
feasibility,feasibility,same-objective,main_solve,Main solve time,s,492,0.9699279999998947,0.8445703785946377,0.9259792968556946,1.0077617310506852,1.0649184614449967,0.4086263540108547,3.9406707177358,65.44715447154472,10.56910569105691,23.983739837398375,1.1410949441543723,450.70319628715515,514.2951385974884,-63.59194231033325,0.935672509513793,0.98778942866016,25
feasibility,feasibility,same-objective,total_time,Total end-to-end time,s,492,0.8357399012818422,0.7180984775676704,0.7878918047302708,0.8934942432781102,1.0024484486463474,0.512588401889792,2.9139322196488417,89.02439024390245,1.016260162601626,9.959349593495935,0.9657369472460227,1052.854670307,1016.780655196,36.07401511100011,0.5046824413703663,0.5561838448659322,25
feasibility,feasibility,same-objective,bound_solver_calls,Bound solver calls,calls,492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,99067.0,99067.0,0.0,0.0,0.0,25
