baseline_objective,candidate_objective,comparison_kind,series,label,unit,n,median_ratio,p10,p25,p75,p90,min_ratio,max_ratio,pct_improved,pct_unchanged,pct_regressed,pooled_ratio,base_sum,cand_sum,net_saved,top10_share,top5pct_share,top5pct_k
feasibility,feasibility,same-objective,build_tighten,Build + bound tightening,s,492,0.9011255270882439,0.6865597441651486,0.7873968933609797,0.9871097233646631,1.1829944340314185,0.37491940382573896,2.4387051894248257,75.60975609756098,1.829268292682927,22.5609756097561,0.9077136389141723,656.3984505055589,595.8218260860251,60.5766244195338,0.10566207484132271,0.21191493888063576,25
feasibility,feasibility,same-objective,main_solve,Main solve time,s,492,1.0020207344564918,0.8107938236935552,0.9156696232701671,1.0796118267299886,1.3407203542135218,0.14567951632938111,4.301691350227439,44.71544715447155,7.926829268292683,47.357723577235774,0.9585771524810376,318.05361008644104,304.87892389297485,13.174686193466187,0.9167405423063537,0.9819716998393435,25
feasibility,feasibility,same-objective,total_time,Total end-to-end time,s,492,0.9106495868043425,0.6788887440257891,0.7881182890855063,0.9978336745035639,1.234593282417929,0.26986346891945007,2.6000239997585264,73.3739837398374,2.4390243902439024,24.1869918699187,0.9243150960467008,974.452060592,900.700749979,73.75131061299999,0.5295065816461998,0.6044175197412661,25
feasibility,feasibility,same-objective,bound_solver_calls,Bound solver calls,calls,492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,99067.0,99067.0,0.0,0.0,0.0,25
