series,label,unit,n,median_ratio,p10,p25,p75,p90,min_ratio,max_ratio,pct_improved,pct_unchanged,pct_regressed,pooled_ratio,base_sum,cand_sum,net_saved,top10_share,top5pct_share,top5pct_k
build_tighten,Build + bound tightening,s,492,1.4655961827053132,1.3041217259691613,1.3893926739294293,1.561084530299413,1.653529225534073,1.0892002546418083,2.6100180246769513,0.0,0.0,100.0,1.4495940325386587,2333.5361912736807,3382.680137583318,-1049.1439463096372,0.03670563008589288,0.08164282574660511,25
main_solve,Main solve time,s,492,1.0066389176456414,0.9060816273869984,0.9610591875813084,1.0601900176848778,1.136319448361565,0.3216397105899465,2.4032335930844693,39.63414634146341,12.601626016260163,47.764227642276424,1.051648679837512,1438.3846080303192,1512.6752741336823,-74.29066610336304,0.8938743021611723,0.9960021341109019,25
total_time,Total end-to-end time,s,492,1.4579942848334573,1.2839821818977217,1.3742751707443388,1.5550341848729852,1.6617605118100285,0.5166658391346233,2.599090906896051,1.4227642276422765,0.0,98.57723577235772,1.2978415168792243,3771.920799304,4895.355411717,-1123.4346124129997,0.24628067325175415,0.2965306258028389,25
