baseline_objective,candidate_objective,comparison_kind,series,label,unit,n,median_ratio,p10,p25,p75,p90,min_ratio,max_ratio,pct_improved,pct_unchanged,pct_regressed,pooled_ratio,base_sum,cand_sum,net_saved,top10_share,top5pct_share,top5pct_k
closest,feasibility,cross-objective,build_tighten,Build + bound tightening,s,492,1.0377739149514396,0.8009907850621772,0.9358210405651628,1.1065876964191474,1.2048006393029846,0.24567344978320563,1.7315681684682633,33.53658536585366,4.471544715447155,61.99186991869919,0.9805024486725613,688.5909986837057,675.1651603432579,13.425838340447854,0.2153114270829732,0.3386670616859166,25
closest,feasibility,cross-objective,main_solve,Main solve time,s,492,0.9482088908213425,0.6451059137871379,0.8533903021610094,1.0682220030170346,1.2270252498730823,0.006910004687403565,11.372824485320368,58.739837398373986,3.861788617886179,37.39837398373984,0.4288308293825062,1450.9701268672943,622.2207229137421,828.7494039535522,0.7976794883592697,0.9960728122094633,25
closest,feasibility,cross-objective,total_time,Total end-to-end time,s,492,1.0310512874908184,0.7238439174744267,0.9134133877562843,1.0975413053154472,1.213565440587717,0.025816305781577085,9.962932300597528,37.80487804878049,4.2682926829268295,57.926829268292686,0.6063794428508721,2139.561125551,1297.3858832570002,842.1752422939996,0.7385119270699553,0.927656313868439,25
closest,feasibility,cross-objective,bound_solver_calls,Bound solver calls,calls,492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,99067.0,99067.0,0.0,,,25
