series,label,unit,n,median_ratio,p10,p25,p75,p90,min_ratio,max_ratio,pct_improved,pct_unchanged,pct_regressed,pooled_ratio,base_sum,cand_sum,net_saved,top10_share,top5pct_share,top5pct_k
build_tighten,Build + bound tightening,s,492,0.8098440940774352,0.7163398462689979,0.769372301922748,0.8543797126136443,0.9366942755482162,0.549902255655616,1.2812932178156484,92.88617886178862,1.2195121951219512,5.894308943089431,0.814597314897443,882.6221918641055,718.9816675613961,163.64052430270942,0.0557719482987416,0.12491177097243272,25
main_solve,Main solve time,s,492,1.0060718334719727,0.7911508589753204,0.9117220502113473,1.1230327493879095,1.2754511409380642,0.02863452193369162,5.194328987416781,42.479674796747965,8.739837398373984,48.78048780487805,1.0017158559850567,1549.0087966918945,1551.666672706604,-2.6578760147094727,0.9109746434455446,0.993243802991145,25
total_time,Total end-to-end time,s,492,0.8207611324551165,0.7243664266081996,0.7800575447644247,0.8637584379045362,0.9909660842019188,0.040152903918767385,4.575202068281749,89.63414634146342,2.4390243902439024,7.926829268292683,0.9337964316766673,2431.630988556,2270.6483402679996,160.9826482880003,0.6528441941247651,0.7232353885950595,25
bound_solver_calls,Bound solver calls,calls,492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,100.0,0.0,1.0,99067.0,99067.0,0.0,,,25
