name,uuid,version,tree_hash,source_kind,is_direct_dep,git_revision
JuliaSyntaxHighlighting,ac6e5ff7-fb65-4e79-a425-ec3bc9c03011,1.12.0,,stdlib,false,
LaTeXStrings,b964fa9f-0449-5b57-a5c2-d3ea65f4040f,1.4.0,dda21b8cbd6a6c40d9d02a73230f9d70fed6918c,registry,false,
LazyArtifacts,4af54fe1-eca0-43a8-85a7-787d91b784e3,1.11.0,,stdlib,false,
LibCURL,b27032c2-a3e7-50c8-80cd-2d36dbcbfd21,0.6.4,,stdlib,false,
LibCURL_jll,deac9b47-8bc7-5906-a0fe-35ac56dc84c0,8.15.0+0,,stdlib,false,
LibGit2,76f85450-5226-5b5a-8eaa-529ad045b433,1.11.0,,stdlib,false,
LibGit2_jll,e37daf67-58a4-590a-8e99-b0245dd2ffc5,1.9.0+0,,stdlib,false,
LibSSH2_jll,29816b5a-b9ab-546f-933c-edad1886dfa8,1.11.3+1,,stdlib,false,
Libdl,8f399da3-3557-5675-b5ff-fb832c97cbdb,1.11.0,,stdlib,false,
Libiconv_jll,94ce4f54-9a6c-5748-9c1c-f9c7231a4531,1.18.0+0,be484f5c92fad0bd8acfef35fe017900b0b73809,registry,false,
LinearAlgebra,37e2e46d-f89d-539d-b4ee-838fcccc9c8e,1.12.0,,stdlib,false,
LogExpFunctions,2ab3a3ac-af41-5b50-aa03-7779005ae688,0.3.29,13ca9e2586b89836fd20cccf56e57e2b9ae7f38f,registry,false,
Logging,56ddb016-857b-54e1-b83d-db4d58db5568,1.11.0,,stdlib,false,
MAT,23992714-dd62-5051-b70f-ba57cb901cac,0.11.5,6f8434aa453c31d5a12c376d297449afa5112404,registry,false,
MIPVerify,e5e5f8be-2a6a-5994-adbb-5afbd0e30425,0.7.0,,path,true,
MPICH_jll,7cb0a576-ebde-5e09-9194-50597f1243b4,4.3.2+0,9341048b9f723f2ae2a72a5269ac2f15f80534dc,registry,false,
MPIPreferences,3da0fdf6-3ccc-4f1b-acd9-58baa6c99267,0.1.12,8e98d5d80b87403c311fd51e8455d4546ba7a5f8,registry,false,
MPItrampoline_jll,f1f71cc9-e9ae-5b93-9b94-4fe0e1ad3748,5.5.5+0,36c2d142e7d45fb98b5f83925213feb3292ca348,registry,false,
MacroTools,1914dd2f-81c6-5fcd-8719-6d5c9610ff09,0.5.16,1e0228a030642014fe5cfe68c2c0a818f9e3f522,registry,false,
Markdown,d6f4376e-aef5-505a-96c1-9c027394607a,1.11.0,,stdlib,false,
MathOptIIS,8c4f8055-bd93-4160-a86b-a0c04941dbff,0.2.0,3b3d69130d8ab8c39d5fa4d30e20a8e6428c9d37,registry,false,
MathOptInterface,b8f27783-ece8-5eb3-8dc8-9495eed66fee,1.50.1,ce739e3d8a21313ea418772edfc3b7b15a1dfc16,registry,false,
Memento,f28f55f0-a522-5efc-85c2-fe41dfb9b2d9,1.4.1,bb2e8f4d9f400f6e90d57b34860f6abdc51398e5,registry,false,
MicrosoftMPI_jll,9237b28f-5490-5468-be7b-bb81f5f5e6cf,10.1.4+3,bc95bf4149bf535c09602e3acdf950d9b4376227,registry,false,
Missings,e1d29d7a-bbdc-5cf2-9ac0-f12de2c33e28,1.2.0,ec4f7fbeab05d7747bdf98eb74d130a2a2ed298d,registry,false,
Mmap,a63ad114-7e13-5084-954f-fe012c677804,1.11.0,,stdlib,false,
MozillaCACerts_jll,14a3606d-f60d-562e-9121-12d972cd8159,2025.11.4,,stdlib,false,
MutableArithmetics,d8a4904e-b15c-11e9-3269-09a3773c0cb0,1.7.1,7c25249fc13a070f5ba433c50e21e22bb33c6fb0,registry,false,
NaNMath,77ba4419-2d1f-58cd-9bb1-8ffee604a2e3,1.1.3,9b8215b1ee9e78a293f99797cd31375471b2bcae,registry,false,
NetworkOptions,ca575930-c2e3-43a9-ace4-1e988b2c1908,1.3.0,,stdlib,false,
OpenBLAS32_jll,656ef2d0-ae68-5445-9ca0-591084a874a2,0.3.30+0,46cce8b42186882811da4ce1f4c7208b02deb716,registry,false,
OpenBLASConsistentFPCSR_jll,6cdc7f73-28fd-5e50-80fb-958a8875b1af,0.3.30+0,f2b3b9e52a5eb6a3434c8cca67ad2dde011194f4,registry,false,
