series,label,unit,n,median_ratio,p10,p25,p75,p90,min_ratio,max_ratio,pct_improved,pct_unchanged,pct_regressed,pooled_ratio,base_sum,cand_sum,net_saved,top10_share,top5pct_share,top5pct_k
build_tighten,Build + bound tightening,s,492,0.22522949502543832,0.16906986715706437,0.1977228188046275,0.258972096767266,0.31431233592570895,0.01531349480393756,5.443336517781671,99.79674796747967,0.0,0.2032520325203252,0.22562883173075565,4913.881449455526,1108.7133307040826,3805.1681187514437,0.12876458476874247,0.18837009895708037,25
main_solve,Main solve time,s,492,0.9970035392172665,0.5670679405227553,0.806239687173065,1.1902444933293825,1.4462669144382287,0.06461802606405319,17.834912159307347,48.170731707317074,4.471544715447155,47.357723577235774,0.9957572054162205,1532.2188920974731,1525.7180020809174,6.500890016555786,0.8635237906164699,0.9539236899435958,25
total_time,Total end-to-end time,s,492,0.23215689700871744,0.17334813355127512,0.20280650062171504,0.2759017510569321,0.3609317326363278,0.015529437649632506,5.445569162407637,98.98373983739837,0.0,1.016260162601626,0.4086860571814045,6446.100341552999,2634.431332785,3811.6690087679995,0.13546764827593372,0.2121395876601924,25
bound_solver_calls,Bound solver calls,calls,492,0.22957459207459208,0.18468176493557206,0.20433484656201825,0.2544338706988799,0.275605302271969,0.11671087533156499,0.3601161665053243,100.0,0.0,0.0,0.23196573911903268,427076.0,99067.0,328009.0,0.021853058909968935,0.054074735754201866,25
